Date,SP500
3/17/2017 16:00,2383.71
3/20/2017 16:00,2378.24
3/21/2017 16:00,2379.32
3/22/2017 16:00,2343
3/23/2017 16:00,2345.97
3/24/2017 16:00,2350.42
3/27/2017 16:00,2329.11
3/28/2017 16:00,2339.79
3/29/2017 16:00,2356.54
3/30/2017 16:00,2361.31
3/31/2017 16:00,2364.82
4/3/2017 16:00,2362.34
4/4/2017 16:00,2354.76
4/5/2017 16:00,2366.59
4/6/2017 16:00,2353.79
4/7/2017 16:00,2356.59
4/10/2017 16:00,2357.16
4/11/2017 16:00,2353.92
4/12/2017 16:00,2352.15
4/13/2017 16:00,2341.98
4/17/2017 16:00,2332.62
4/18/2017 16:00,2342.53
4/19/2017 16:00,2346.79
4/20/2017 16:00,2342.69
4/21/2017 16:00,2354.74
4/24/2017 16:00,2370.33
4/25/2017 16:00,2381.51
4/26/2017 16:00,2388.98
4/27/2017 16:00,2389.7
4/28/2017 16:00,2393.68
5/1/2017 16:00,2388.5
5/2/2017 16:00,2391.05
5/3/2017 16:00,2386.5
5/4/2017 16:00,2389.79
5/5/2017 16:00,2392.37
5/8/2017 16:00,2399.94
5/9/2017 16:00,2401.58
5/10/2017 16:00,2396.79
5/11/2017 16:00,2394.84
5/12/2017 16:00,2392.44
5/15/2017 16:00,2393.98
5/16/2017 16:00,2404.55
5/17/2017 16:00,2382.95
5/18/2017 16:00,2354.69
5/19/2017 16:00,2371.37
5/22/2017 16:00,2387.21
5/23/2017 16:00,2397.04
5/24/2017 16:00,2401.41
5/25/2017 16:00,2409.54
5/26/2017 16:00,2414.5
5/30/2017 16:00,2411.67
5/31/2017 16:00,2415.63
6/1/2017 16:00,2415.65
6/2/2017 16:00,2431.28
6/5/2017 16:00,2437.83
6/6/2017 16:00,2431.92
6/7/2017 16:00,2432.03
6/8/2017 16:00,2434.27
6/9/2017 16:00,2436.39
6/12/2017 16:00,2425.88
6/13/2017 16:00,2434.15
6/14/2017 16:00,2443.75
6/15/2017 16:00,2424.14
6/16/2017 16:00,2431.24
6/19/2017 16:00,2442.55
6/20/2017 16:00,2450.66
6/21/2017 16:00,2439.31
6/22/2017 16:00,2437.4
6/23/2017 16:00,2434.65
6/26/2017 16:00,2443.32
6/27/2017 16:00,2436.34
6/28/2017 16:00,2428.7
6/29/2017 16:00,2442.38
6/30/2017 16:00,2429.2
7/3/2017 16:00,2431.39
7/5/2017 16:00,2430.78
7/6/2017 16:00,2423.44
7/7/2017 16:00,2413.52
7/10/2017 16:00,2424.51
7/11/2017 16:00,2427.35
7/12/2017 16:00,2435.75
7/13/2017 16:00,2444.99
7/14/2017 16:00,2449.16
7/17/2017 16:00,2459.5
7/18/2017 16:00,2455.88
7/19/2017 16:00,2463.85
7/20/2017 16:00,2475.56
7/21/2017 16:00,2467.4
7/24/2017 16:00,2472.04
7/25/2017 16:00,2477.88
7/26/2017 16:00,2479.97
7/27/2017 16:00,2482.76
7/28/2017 16:00,2469.12
7/31/2017 16:00,2475.94
8/1/2017 16:00,2477.1
8/2/2017 16:00,2480.38
8/3/2017 16:00,2476.03
8/4/2017 16:00,2476.88
8/7/2017 16:00,2477.14
8/8/2017 16:00,2478.35
8/9/2017 16:00,2465.35
8/10/2017 16:00,2465.38
8/11/2017 16:00,2441.04
8/14/2017 16:00,2454.96
8/15/2017 16:00,2468.66
8/16/2017 16:00,2468.63
8/17/2017 16:00,2462.95
8/18/2017 16:00,2427.64
8/21/2017 16:00,2425.5
8/22/2017 16:00,2433.75
8/23/2017 16:00,2444.88
8/24/2017 16:00,2447.91
8/25/2017 16:00,2444.72
8/28/2017 16:00,2447.35
8/29/2017 16:00,2431.94
8/30/2017 16:00,2446.06
8/31/2017 16:00,2462.65
9/1/2017 16:00,2474.42
9/5/2017 16:00,2470.35
9/6/2017 16:00,2463.83
9/7/2017 16:00,2468.06
9/8/2017 16:00,2462.25
9/11/2017 16:00,2474.52
9/12/2017 16:00,2491.94
9/13/2017 16:00,2493.89
9/14/2017 16:00,2494.56
9/15/2017 16:00,2495.67
9/18/2017 16:00,2502.51
9/19/2017 16:00,2506.29
9/20/2017 16:00,2506.84
9/21/2017 16:00,2507.16
9/22/2017 16:00,2497.26
9/25/2017 16:00,2499.39
9/26/2017 16:00,2501.04
9/27/2017 16:00,2503.3
9/28/2017 16:00,2503.41
9/29/2017 16:00,2509.96
10/2/2017 16:00,2521.2
10/3/2017 16:00,2530.34
10/4/2017 16:00,2533.48
10/5/2017 16:00,2540.86
10/6/2017 16:00,2547.44
10/9/2017 16:00,2551.39
10/10/2017 16:00,2549.99
10/11/2017 16:00,2550.62
10/12/2017 16:00,2552.88
10/13/2017 16:00,2555.66
10/16/2017 16:00,2555.57
10/17/2017 16:00,2557.17
10/18/2017 16:00,2562.87
10/19/2017 16:00,2553.39
10/20/2017 16:00,2567.56
10/23/2017 16:00,2578.08
10/24/2017 16:00,2568.66
10/25/2017 16:00,2566.52
10/26/2017 16:00,2560.08
10/27/2017 16:00,2570.26
10/30/2017 16:00,2577.75
10/31/2017 16:00,2575.99
11/1/2017 16:00,2583.21
11/2/2017 16:00,2579.46
11/3/2017 16:00,2581.93
11/6/2017 16:00,2587.47
11/7/2017 16:00,2592.11
11/8/2017 16:00,2588.71
11/9/2017 16:00,2584
11/10/2017 16:00,2580.18
11/13/2017 16:00,2576.53
11/14/2017 16:00,2577.75
11/15/2017 16:00,2569.45
11/16/2017 16:00,2572.95
11/17/2017 16:00,2582.94
11/20/2017 16:00,2579.49
11/21/2017 16:00,2589.17
11/22/2017 16:00,2600.31
11/24/2017 13:00,2600.42
11/27/2017 16:00,2602.66
11/28/2017 16:00,2605.94
11/29/2017 16:00,2627.82
11/30/2017 16:00,2633.93
12/1/2017 16:00,2645.1
12/4/2017 16:00,2657.19
12/5/2017 16:00,2639.78
12/6/2017 16:00,2626.24
12/7/2017 16:00,2628.38
12/8/2017 16:00,2646.21
12/11/2017 16:00,2652.19
12/12/2017 16:00,2661.73
12/13/2017 16:00,2667.59
12/14/2017 16:00,2665.87
12/15/2017 16:00,2660.63
12/18/2017 16:00,2685.92
12/19/2017 16:00,2692.71
12/20/2017 16:00,2688.18
12/21/2017 16:00,2683.02
12/22/2017 16:00,2684.22
12/26/2017 16:00,2679.09
12/27/2017 16:00,2682.1
12/28/2017 16:00,2686.1
12/29/2017 16:00,2689.15
1/2/2018 16:00,2683.73
1/3/2018 16:00,2697.85
1/4/2018 16:00,2719.31
1/5/2018 16:00,2731.33
1/8/2018 16:00,2742.67
1/9/2018 16:00,2751.15
1/10/2018 16:00,2745.55
1/11/2018 16:00,2752.97
1/12/2018 16:00,2770.18
1/16/2018 16:00,2798.96
1/17/2018 16:00,2784.99
1/18/2018 16:00,2802.4
1/19/2018 16:00,2802.6
1/22/2018 16:00,2809.16
1/23/2018 16:00,2835.05
1/24/2018 16:00,2845.42
1/25/2018 16:00,2846.24
1/26/2018 16:00,2847.48
1/29/2018 16:00,2867.23
1/30/2018 16:00,2832.74
1/31/2018 16:00,2832.41
2/1/2018 16:00,2816.45
2/2/2018 16:00,2808.92
2/5/2018 16:00,2741.06
2/6/2018 16:00,2614.78
2/7/2018 16:00,2690.95
2/8/2018 16:00,2685.01
2/9/2018 16:00,2601.78
2/12/2018 16:00,2636.75
2/13/2018 16:00,2646.27
2/14/2018 16:00,2651.21
2/15/2018 16:00,2713.46
2/16/2018 16:00,2727.14
2/20/2018 16:00,2722.99
2/21/2018 16:00,2720.53
2/22/2018 16:00,2710.42
2/23/2018 16:00,2715.8
2/26/2018 16:00,2757.37
2/27/2018 16:00,2780.45
2/28/2018 16:00,2753.78
3/1/2018 16:00,2715.22
3/2/2018 16:00,2658.89
3/5/2018 16:00,2681.06
3/6/2018 16:00,2730.18
3/7/2018 16:00,2710.18
